name,Category,Addr,analytics,logo
Fairfield Inn & Suites Kingsland,Category 3,"1319 East King Avenue Kingsland, Georgia 31548",Fairfield Inn & Suites Kingsland 4.4   454 Reviews View Rates,undefined undefined
MeadowView Conference Resort & Convention Center,Category 3,"1901 Meadowview Parkway Kingsport, Tennessee 37660",MeadowView Conference Resort & Convention Center 4.5   861 Reviews View Rates,undefined undefined
Courtyard Kingston,Category 4,"500 Frank Sottile Blvd Kingston, New York 12401",Courtyard Kingston 4.5   414 Reviews View Rates,undefined undefined
Residence Inn Kingston,Category 4,"800 Frank Sottile Boulevard Kingston, New York 12401",Residence Inn Kingston 4.6   311 Reviews View Rates,undefined undefined
TownePlace Suites Kingsville,Category 1,"2574 South US Highway 77 Kingsville, Texas 78363",TownePlace Suites Kingsville 4.3   52 Reviews View Rates,undefined undefined
Courtyard Houston Kingwood,Category 2,"130 Northpark Plaza Dr. Kingwood, Texas 77339",Courtyard Houston Kingwood 4.6   475 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Kinston,Category 1,"667 Sheffield Drive Kinston, North Carolina 28504",Fairfield Inn & Suites Kinston View Calendar,undefined undefined
Courtyard Seattle Kirkland,Category 4,"11215 NE 124th Street Kirkland, Washington 98034-4302",Courtyard Seattle Kirkland 4.2   473 Reviews View Rates,undefined undefined
Delta Hotels Orlando Celebration,Category 5,"2900 Parkway Blvd. Kissimmee, Florida 34747",Delta Hotels Orlando Celebration,undefined undefined
Fairfield Inn & Suites Orlando Kissimmee/Celebration,Category 4,"6073 West Irlo Bronson Memorial Highway Kissimmee, Florida 34747",Fairfield Inn & Suites Orlando Kissimmee/Celebration 4.6   512 Reviews View Rates,undefined undefined
Gaylord Palms Resort & Convention Center,Category 5,"6000 West Osceola Parkway Kissimmee, Florida 34746",Gaylord Palms Resort & Convention Center 4.2   4988 Reviews View Rates,undefined undefined
SpringHill Suites Orlando Lake Buena Vista South,Category 4,"4991 Calypso Cay Way Kissimmee, Florida 34746",SpringHill Suites Orlando Lake Buena Vista South 4.4   600 Reviews View Rates,undefined undefined
Courtyard Knoxville Cedar Bluff,Category 3,"216 Langley Place Knoxville, Tennessee 37922",Courtyard Knoxville Cedar Bluff 4.3   278 Reviews View Rates,undefined undefined
Courtyard Knoxville Downtown,Category 4,"210 West Church Avenue Knoxville, Tennessee 37902",Courtyard Knoxville Downtown 4.7   99 Reviews View Rates,undefined undefined
Courtyard Knoxville West/Bearden,Category 3,"250 Brookview Centre Way Knoxville, Tennessee 37919",Courtyard Knoxville West/Bearden 4.7   535 Reviews View Rates,undefined undefined
Hotel Knoxville,Category 4,"501 East Hill Avenue Knoxville, Tennessee 37915",Hotel Knoxville 3.6   7 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Knoxville West,Category 3,"11763 Snyder Road Knoxville, Tennessee 37932",Fairfield Inn & Suites Knoxville West 4.8   473 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Knoxville/East,Category 3,"1551 Cracker Barrel Lane Knoxville, Tennessee 37914",Fairfield Inn & Suites Knoxville/East 4.3   401 Reviews View Rates,undefined undefined
Residence Inn Knoxville Cedar Bluff,Category 3,"215 Langley Place Knoxville, Tennessee 37922",Residence Inn Knoxville Cedar Bluff View Rates,undefined undefined
Residence Inn Knoxville Downtown,Category 4,"210 West Church Avenue Knoxville, Tennessee 37902",Residence Inn Knoxville Downtown 4.8   43 Reviews View Rates,undefined undefined
SpringHill Suites Knoxville at Turkey Creek,Category 3,"10955 Turkey Drive Knoxville, Tennessee 37934",SpringHill Suites Knoxville at Turkey Creek 4.5   417 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/TYSKW/tyskw-exterior-0010-hor-feat.jpg?resize=375:150 undefined
Four Points by Sheraton Knoxville Cumberland House Hotel,Category 4,"1109 White Avenue Knoxville, Tennessee 37916",Four Points by Sheraton Knoxville Cumberland House Hotel 4   240 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/TYSFP/tysfp-exterior-9295-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Knoxville Cedar Bluff,Category 2,"205 Langley Place Knoxville, Tennessee 37922",TownePlace Suites Knoxville Cedar Bluff 4.4   292 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/TYSTS/tysts-desk-0038-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Sevierville Kodak,Category 3,"3620 Outdoor Sportsman Place Kodak, Tennessee 37764",Fairfield Inn & Suites Sevierville Kodak 4.6   539 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/TYSKD/tyskd-exterior-0026-hor-feat.jpg?resize=375:150 undefined
"Mauna Kea Beach Hotel, Autograph Collection",Category 6,"62-100 Mauna Kea Beach Drive Kohala Coast, Hawaii 96743","Mauna Kea Beach Hotel, Autograph Collection 4.6   734 Reviews View Rates",undefined undefined
The Westin Hapuna Beach Resort,Category 6,"62-100 Kauna’oa Drive Kohala Coast, Hawaii 96743",The Westin Hapuna Beach Resort 4.2   256 Reviews View Rates,undefined undefined
Courtyard Kokomo,Category 3,"411 Kentucky Drive. Kokomo, Indiana 46902",Courtyard Kokomo 4.3   355 Reviews View Rates,undefined undefined
"Koloa Landing Resort at Poipu, Autograph Collection",Category 7,"2641 Poipu Road Koloa, Hawaii 96756","Koloa Landing Resort at Poipu, Autograph Collection 4.7   904 Reviews View Rates",undefined undefined
Marriott's Waiohai Beach Club,Category 7,"2249 Poipu Road, Marriott Vacation Club Hawaii Tax ID # TA-070-692-2496-01 Koloa - Kauai, Hawaii 96756",Marriott's Waiohai Beach Club View Rates,undefined undefined
Courtyard La Crosse Downtown/Mississippi Riverfront,Category 4,"500 Front Street S La Crosse, Wisconsin 54601",Courtyard La Crosse Downtown/Mississippi Riverfront 4.6   433 Reviews View Rates,undefined undefined
Fairfield Inn & Suites La Crosse Downtown,Category 4,"434 Third Street South La Crosse, Wisconsin 54601",Fairfield Inn & Suites La Crosse Downtown 4.8   333 Reviews View Rates,undefined undefined
San Diego Marriott La Jolla,Category 5,"4240 La Jolla Village Drive La Jolla, California 92037",San Diego Marriott La Jolla 4.2   802 Reviews View Rates,undefined undefined
Residence Inn San Diego La Jolla,Category 5,"8901 Gilman Drive La Jolla, California 92037",Residence Inn San Diego La Jolla 4.2   765 Reviews View Rates,undefined undefined
Sheraton La Jolla Hotel,Category 5,"3299 Holiday Court La Jolla, California 92037",Sheraton La Jolla Hotel 3.7   533 Reviews View Rates,undefined undefined
Residence Inn La Mirada Buena Park,Category 3,"14419 Firestone Boulevard La Mirada, California 90638",Residence Inn La Mirada Buena Park 4.2   448 Reviews View Rates,undefined undefined
Courtyard Omaha La Vista,Category 2,"12560 Westport Parkway La Vista, Nebraska 68128",Courtyard Omaha La Vista 4.4   599 Reviews View Rates,undefined undefined
Courtyard Lafayette,Category 3,"150 Fairington Ave Lafayette, Indiana 47905",Courtyard Lafayette 4.5   414 Reviews View Rates,undefined undefined
Courtyard Lafayette Airport,Category 1,"214 East Kaliste Saloom Road Lafayette, Louisiana 70508",Courtyard Lafayette Airport 4.2   437 Reviews View Rates,undefined undefined
Courtyard Lafayette South,Category 2,"200 Frem Boustany Drive Lafayette, Louisiana 70508",Courtyard Lafayette South 4.4   12 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lafayette,Category 3,"4000 South Street Lafayette, Indiana 47905",Fairfield Inn & Suites Lafayette 4.4   342 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lafayette I-10,Category 1,"2225 NW Evangeline Thruway Lafayette, Louisiana 70501",Fairfield Inn & Suites Lafayette I-10 4.2   387 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lafayette South,Category 2,"1606 W Pinhook Road Lafayette, Louisiana 70508",Fairfield Inn & Suites Lafayette South 4.7   414 Reviews View Rates,undefined undefined
Residence Inn Lafayette,Category 3,"3834 Grace Lane Lafayette, Indiana 47905",Residence Inn Lafayette 4.5   152 Reviews View Rates,undefined undefined
Residence Inn Lafayette Airport,Category 1,"128 James Comeaux Road Lafayette, Louisiana 70508",Residence Inn Lafayette Airport 4.7   304 Reviews View Rates,undefined undefined
SpringHill Suites Lafayette South at River Ranch,Category 2,"321 Settlers Trace Boulevard Lafayette, Louisiana 70508",SpringHill Suites Lafayette South at River Ranch 4.6   374 Reviews View Rates,undefined undefined
TownePlace Suites Lafayette,Category 3,"163 Frontage Road Lafayette, Indiana 47905",TownePlace Suites Lafayette 4.3   209 Reviews View Rates,undefined undefined
TownePlace Suites Lafayette South,Category 2,"119 Lake Farm Road Lafayette, Louisiana 70508",TownePlace Suites Lafayette South View Calendar,undefined undefined
Courtyard LaGrange,Category 3,"25 West Lafayette Square LaGrange, Georgia 30240",Courtyard LaGrange 4.7   224 Reviews View Rates,undefined undefined
Courtyard Laguna Hills Irvine Spectrum/Orange County,Category 4,"23175 Avenida de la Carlota Laguna Hills, California 92653",Courtyard Laguna Hills Irvine Spectrum/Orange County 4.2   419 Reviews View Rates,undefined undefined
The Westin Ka'anapali Ocean Resort Villas,Category 6,"6 Kai Ala Drive Lahaina, Hawaii 96761",The Westin Ka'anapali Ocean Resort Villas View Rates,undefined undefined
"The Westin Nanea Ocean Villas, Ka'anapali",Category 7,"45 Kai Malina Parkway Lahaina, Hawaii 96761","The Westin Nanea Ocean Villas, Ka'anapali View Rates",undefined undefined
Marriott's Maui Ocean Club  - Lahaina & Napili Towers,Category 6,"100 Nohea Kai Drive, Marriott Vacation Club Hawaii Tax ID # TA-070-692-2496-02 Lahaina - Maui, Hawaii 96761",Marriott's Maui Ocean Club  - Lahaina & Napili Towers View Rates,undefined undefined
"Marriott's Maui Ocean Club  - Molokai, Maui & Lanai Towers",Category 6,"100 Nohea Kai Drive, Marriott Vacation Club Hawaii Tax ID # TA-070-692-2496-02 Lahaina - Maui, Hawaii 96761","Marriott's Maui Ocean Club  - Molokai, Maui & Lanai Towers View Rates",undefined undefined
Courtyard Oahu North Shore,Category 5,"55-400 Kamehameha Highway Laie, Hawaii 96762",Courtyard Oahu North Shore 4.5   1036 Reviews View Rates,undefined undefined
"Lake Arrowhead Resort and Spa, Autograph Collection",Category 5,"27984 Hwy 189 Lake Arrowhead, California 92352","Lake Arrowhead Resort and Spa, Autograph Collection 3.9   1366 Reviews View Rates",undefined undefined
Walt Disney World Dolphin,Category 6,"1500 Epcot Resort Boulevard Lake Buena Vista, Florida 32830",Walt Disney World Dolphin 3.8   4778 Reviews View Rates,undefined undefined
Walt Disney World Swan,Category 6,"1200 Epcot Resort Boulevard Lake Buena Vista, Florida 32830",Walt Disney World Swan 3.9   2330 Reviews View Rates,undefined undefined
Courtyard Lake Charles,Category 4,"2995 L'Auberge Boulevard Lake Charles, Louisiana 70601",Courtyard Lake Charles 4.3   324 Reviews View Rates,undefined undefined
Residence Inn Lake Charles,Category 4,"1591 West Prien Lake Road Lake Charles, Louisiana 70601",Residence Inn Lake Charles 4.4   240 Reviews View Rates,undefined undefined
SpringHill Suites Lake Charles,Category 4,"1551 West Prien Lake Road Lake Charles, Louisiana 70601",SpringHill Suites Lake Charles 4.1   596 Reviews View Rates,undefined undefined
TownePlace Suites Lake Charles,Category 4,"2985 L'Auberge Boulevard Lake Charles, Louisiana 70601",TownePlace Suites Lake Charles 4.4   275 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LCHTS/lchts-exterior-0001-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Lake City,Category 3,"538 SW Corporate Drive Lake City, Florida 32055",Fairfield Inn & Suites Lake City 4.3   431 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/GNVLC/gnvlc-exterior-0026-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Irvine Lake Forest,,"23150 Lake Center Drive Lake Forest, California 92630",TownePlace Suites Irvine Lake Forest,https://cache.marriott.com/marriottassets/marriott/TP/tp-main-0001-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Lake Geneva,Category 3,"1111 North Edwards Boulevard Lake Geneva, Wisconsin 53147",Fairfield Inn & Suites Lake Geneva 4.9   8 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/MKEFG/mkefg-exterior-9431-hor-feat.jpg?resize=375:150 undefined
Courtyard Lake George,Category 5,"365 Canada Street Lake George, New York 12845",Courtyard Lake George 4.7   765 Reviews View Rates,undefined undefined
Courtyard Lake Jackson,Category 2,"159 State Highway 288 Lake Jackson, Texas 77566",Courtyard Lake Jackson 4.5   183 Reviews View Rates,undefined undefined
Courtyard Orlando Lake Mary/North,Category 3,"135 International Parkway Lake Mary, Florida 32746",Courtyard Orlando Lake Mary/North 4.2   330 Reviews View Rates,undefined undefined
Orlando Marriott Lake Mary,Category 4,"1501 International Parkway Lake Mary, Florida 32746",Orlando Marriott Lake Mary 4.5   551 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Residence Inn Orlando Lake Mary,Category 3,"825 Heathrow Park Lane Lake Mary, Florida 32746",Residence Inn Orlando Lake Mary 4.8   482 Reviews View Rates,undefined undefined
"The Westin Lake Mary, Orlando North",Category 4,"2974 International Parkway Lake Mary, Florida 32746","The Westin Lake Mary, Orlando North 4.3   507 Reviews View Rates",undefined undefined
Fairfield Inn & Suites Portland South/Lake Oswego,Category 3,"6100 South West Meadows Road Lake Oswego, Oregon 97035",Fairfield Inn & Suites Portland South/Lake Oswego 4.5   410 Reviews View Rates,
Residence Inn Portland South/Lake Oswego,Category 4,"15200 SW Bangy Road Lake Oswego, Oregon 97035",Residence Inn Portland South/Lake Oswego 4.3   293 Reviews View Rates,undefined undefined
Courtyard Lake Placid,Category 4,"5920 Cascade Road Lake Placid, New York 12946",Courtyard Lake Placid 4.4   501 Reviews View Rates,undefined undefined
TownePlace Suites Fort Worth Northwest/Lake Worth,Category 2,"2925 Royalty Lane Lake Worth, Texas 76135",TownePlace Suites Fort Worth Northwest/Lake Worth 4.5   48 Reviews View Rates,undefined undefined
Courtyard Lakeland,Category 3,"3725 Harden Blvd Lakeland, Florida 33803",Courtyard Lakeland 4.4   292 Reviews View Rates,undefined undefined
Residence Inn Lakeland,Category 3,"3701 Harden Blvd. Lakeland, Florida 33803",Residence Inn Lakeland 4.5   282 Reviews View Rates,undefined undefined
TownePlace Suites Lakeland,Category 3,"3370 US Highway 98 North Lakeland, Florida 33805",TownePlace Suites Lakeland 4.6   241 Reviews View Rates,undefined undefined
Courtyard Denver Southwest/Lakewood,Category 3,"7180 West Hampden Avenue Lakewood, Colorado 80227",Courtyard Denver Southwest/Lakewood 3.8   334 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Denver Southwest/Lakewood,Category 3,"3605 South Wadsworth Boulevard Lakewood, Colorado 80235",Fairfield Inn & Suites Denver Southwest/Lakewood View Calendar,undefined undefined
Fairfield Inn & Suites Denver West/Federal Center,Category 3,"140 South Union Boulevard Lakewood, Colorado 80228",Fairfield Inn & Suites Denver West/Federal Center 4.7   130 Reviews View Rates,undefined undefined
Residence Inn Denver Southwest/Lakewood,Category 3,"7050 West Hampden Avenue Lakewood, Colorado 80227",Residence Inn Denver Southwest/Lakewood 4.3   355 Reviews View Rates,undefined undefined
SpringHill Suites Denver West/Golden,Category 3,"1315 Colorado Mills Parkway Lakewood, Colorado 80401",SpringHill Suites Denver West/Golden 4.6   103 Reviews View Rates,undefined undefined
Sheraton Denver West Hotel,Category 4,"360 Union Boulevard Lakewood, Colorado 80228",Sheraton Denver West Hotel 3.8   481 Reviews View Rates,undefined undefined
TownePlace Suites Tacoma Lakewood,Category 3,"11725 Pacific Highway SW Lakewood, Washington 98499",TownePlace Suites Tacoma Lakewood 4.8   141 Reviews View Rates,undefined undefined
Courtyard Lancaster,Category 4,"1931 Hospitality Drive Lancaster, Pennsylvania 17601",Courtyard Lancaster 4.5   623 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lancaster,Category 3,"150 Granite Run Drive Lancaster, Pennsylvania 17601",Fairfield Inn & Suites Lancaster 4.5   389 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lancaster East at The Outlets,Category 4,"2270 Lincoln Highway East Lancaster, Pennsylvania 17602",Fairfield Inn & Suites Lancaster East at The Outlets 4.5   575 Reviews View Rates,undefined undefined
Lancaster Marriott at Penn Square,Category 5,"25 South Queen Street Lancaster, Pennsylvania 17603",Lancaster Marriott at Penn Square 4.3   953 Reviews View Rates,undefined undefined
Residence Inn Lancaster,Category 4,"1450 Harrisburg Pike Lancaster, Pennsylvania 17601",Residence Inn Lancaster 4.9   98 Reviews View Rates,undefined undefined
SpringHill Suites Lancaster Palmdale,Category 3,"1811 West Avenue J-12 Lancaster, California 93534",SpringHill Suites Lancaster Palmdale 4.5   318 Reviews View Rates,undefined undefined
TownePlace Suites Lancaster,Category 3,"2024 West Avenue J 8 Lancaster, California 93536",TownePlace Suites Lancaster 4.6   328 Reviews View Rates,undefined undefined
SpringHill Suites Tampa Suncoast Parkway,Category 3,"16615 Crosspointe Run Land O' Lakes, Florida 34638",SpringHill Suites Tampa Suncoast Parkway 4.8   110 Reviews View Rates,undefined undefined
Courtyard New Carrollton Landover,Category 2,"8330 Corporate Drive Landover, Maryland 20785",Courtyard New Carrollton Landover 4.3   529 Reviews View Rates,undefined undefined
Courtyard Philadelphia Langhorne,Category 3,"5 Cabot Blvd East Langhorne, Pennsylvania 19047",Courtyard Philadelphia Langhorne 3.7   494 Reviews View Rates,undefined undefined
Residence Inn Philadelphia Langhorne,Category 3,"15 Cabot Boulevard East Langhorne, Pennsylvania 19047",Residence Inn Philadelphia Langhorne 4.1   481 Reviews View Rates,undefined undefined
SpringHill Suites Philadelphia Langhorne,Category 4,"200 North Buckstown Drive Langhorne, Pennsylvania 19047",SpringHill Suites Philadelphia Langhorne 3.9   727 Reviews View Rates,undefined undefined
Sheraton Bucks County Langhorne,Category 3,"400 Oxford Valley Road Langhorne, Pennsylvania 19047",Sheraton Bucks County Langhorne 3.8   667 Reviews View Rates,undefined undefined
Courtyard Philadelphia Lansdale,Category 2,"1737 Sumneytown Pike Lansdale, Pennsylvania 19446",Courtyard Philadelphia Lansdale 4.6   576 Reviews View Rates,undefined undefined
Courtyard Lansing,Category 3,"2710 Lake Lansing Road Lansing, Michigan 48912",Courtyard Lansing 4.2   416 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lansing at Eastwood,Category 3,"3320 Preyde Boulevard Lansing, Michigan 48912",Fairfield Inn & Suites Lansing at Eastwood 4.5   291 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Lansing West,Category 3,"810 Delta Commerce Drive Lansing, Michigan 48917",Fairfield Inn & Suites Lansing West 4.5   245 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LANFW/lanfw-exterior-0074-hor-feat.jpg?resize=375:150 undefined
Residence Inn Lansing West,Category 3,"922 Delta Commerce Drive Lansing, Michigan 48917",Residence Inn Lansing West 4.5   271 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LANWE/lanwe-exterior-0073-hor-feat.jpg?resize=375:150 undefined
SpringHill Suites Lansing,Category 3,"111 South Marketplace Boulevard Lansing, Michigan 48917",SpringHill Suites Lansing 4.6   388 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LANSH/lansh-exterior-0005-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Laplace,Category 2,"4281 Highway 51 Laplace, Louisiana 70068",TownePlace Suites Laplace 4.3   147 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/MSYLP/msylp-exterior-0028-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites LaPlace,Category 2,"944 Belle Terre Boulevard LaPlace, Louisiana 70068",Fairfield Inn & Suites LaPlace 4.7   13 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Laramie,Category 2,"1673 Centennial Drive Laramie, Wyoming 82070",Fairfield Inn & Suites Laramie 4.5   290 Reviews View Rates,undefined undefined
Courtyard Laredo,Category 2,"2410 Santa Ursula Avenue Laredo, Texas 78040",Courtyard Laredo 4.4   447 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Laredo,Category 2,"700 W. Hillside Road Laredo, Texas 78041",Fairfield Inn & Suites Laredo 4.4   432 Reviews View Rates,undefined undefined
Residence Inn Laredo Del Mar,Category 2,"310 Lost Oaks Boulevard Laredo, Texas 78041",Residence Inn Laredo Del Mar 4.4   372 Reviews View Rates,undefined undefined
SpringHill Suites Laredo,Category 2,"5940 San Bernardo Ave. Laredo, Texas 78041",SpringHill Suites Laredo 4.5   505 Reviews View Rates,undefined undefined
TownePlace Suites Laredo,Category 2,"6519 Arena Boulevard Laredo, Texas 78041",TownePlace Suites Laredo 4.7   316 Reviews View Rates,undefined undefined
Courtyard Largo Capital Beltway,Category 3,"1320 Caraway Court Largo, Maryland 20774",Courtyard Largo Capital Beltway 4.4   374 Reviews View Rates,undefined undefined
Residence Inn Largo Capital Beltway,Category 3,"1330 Caraway Court Largo, Maryland 20774",Residence Inn Largo Capital Beltway 4.5   396 Reviews View Rates,undefined undefined
Courtyard San Francisco Larkspur Landing/Marin County,Category 5,"2500 Larkspur Landing Circle Larkspur, California 94939",Courtyard San Francisco Larkspur Landing/Marin County 4.5   482 Reviews View Rates,undefined undefined
Courtyard by Marriott Las Cruces at NMSU,Category 2,"456 East University Avenue Las Cruces, New Mexico 88005",Courtyard by Marriott Las Cruces at NMSU 4.7   36 Reviews View Rates,undefined undefined
Fairfield Inn Las Cruces,Category 2,"2101 Summit Court Las Cruces, New Mexico 88011",Fairfield Inn Las Cruces 4.4   274 Reviews View Rates,undefined undefined
SpringHill Suites Las Cruces,Category 2,"1611 Hickory Loop Las Cruces, New Mexico 88005",SpringHill Suites Las Cruces 4.4   394 Reviews View Rates,undefined undefined
TownePlace Suites Las Cruces,Category 2,"2143 Telshor Court Las Cruces, New Mexico 88011",TownePlace Suites Las Cruces 4.5   286 Reviews View Rates,undefined undefined
"The Cosmopolitan of Las Vegas, Autograph Collection",Category 7,"3708 Las Vegas Boulevard South Las Vegas, Nevada 89109","The Cosmopolitan of Las Vegas, Autograph Collection 4.6   7392 Reviews View Rates",undefined undefined
Courtyard Las Vegas Convention Center,Category 4,"3275 Paradise Road Las Vegas, Nevada 89109",Courtyard Las Vegas Convention Center 4.5   529 Reviews View Rates,undefined undefined
Courtyard Las Vegas South,Category 4,"5845 Dean Martin Drive Las Vegas, Nevada 89118",Courtyard Las Vegas South 4.3   505 Reviews View Rates,undefined undefined
Courtyard Las Vegas Summerlin,Category 3,"1901 North Rainbow Blvd Las Vegas, Nevada 89108",Courtyard Las Vegas Summerlin 4.1   513 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Las Vegas Airport South,Category 4,"355 East Warm Springs Road Las Vegas, Nevada 89119",Fairfield Inn & Suites Las Vegas Airport South View Calendar,undefined undefined
Fairfield Inn & Suites Las Vegas Northwest,Category 3,"5701 Sky Pointe Drive Las Vegas, Nevada 89130",Fairfield Inn & Suites Las Vegas Northwest View Calendar,undefined undefined
Fairfield Inn & Suites Las Vegas South,Category 4,"5775 Dean Martin Drive Las Vegas, Nevada 89118",Fairfield Inn & Suites Las Vegas South 4.5   550 Reviews View Rates,undefined undefined
Fairfield Inn Las Vegas Convention Center,Category 4,"3850 Paradise Road Las Vegas, Nevada 89169",Fairfield Inn Las Vegas Convention Center 4.2   497 Reviews View Rates,undefined undefined
JW Marriott Las Vegas Resort & Spa,Category 5,"221 N Rampart Blvd Las Vegas, Nevada 89145",JW Marriott Las Vegas Resort & Spa 4.4   1548 Reviews View Rates,undefined undefined
Las Vegas Marriott,Category 5,"325 Convention Center Drive Las Vegas, Nevada 89109",Las Vegas Marriott 4.6   804 Reviews View Rates,undefined undefined
Marriott's Grand Chateau,Category 5,"75 East Harmon Avenue Las Vegas, Nevada 89109",Marriott's Grand Chateau View Rates,undefined undefined
Renaissance Las Vegas Hotel,Category 5,"3400 Paradise Road Las Vegas, Nevada 89169-2770",Renaissance Las Vegas Hotel 4.2   940 Reviews View Rates,undefined undefined
Residence Inn Las Vegas Airport,Category 4,"7690 South Las Vegas Boulevard Las Vegas, Nevada 89123",Residence Inn Las Vegas Airport 4.8   470 Reviews View Rates,undefined undefined
Residence Inn Las Vegas Convention Center,Category 4,"3225 Paradise Road Las Vegas, Nevada 89109",Residence Inn Las Vegas Convention Center 4.1   677 Reviews View Rates,undefined undefined
Residence Inn Las Vegas Hughes Center,Category 4,"370 Hughes Center Dr Las Vegas, Nevada 89169",Residence Inn Las Vegas Hughes Center 4.4   666 Reviews View Rates,undefined undefined
Residence Inn Las Vegas South,Category 4,"5875 Dean Martin Drive Las Vegas, Nevada 89118",Residence Inn Las Vegas South 4.5   495 Reviews View Rates,undefined undefined
SpringHill Suites Las Vegas Convention Center,Category 4,"2989 Paradise Road Las Vegas, Nevada 89109",SpringHill Suites Las Vegas Convention Center 4.5   893 Reviews View Rates,undefined undefined
Element Las Vegas Summerlin,Category 3,"10555 Discovery Drive Las Vegas, Nevada 89135",Element Las Vegas Summerlin 4.3   473 Reviews View Rates,undefined undefined
Four Points by Sheraton Las Vegas East Flamingo,Category 4,"4055 Palos Verdes Street Las Vegas, Nevada 89119",Four Points by Sheraton Las Vegas East Flamingo 3.2   240 Reviews View Rates,undefined undefined
TownePlace Suites Las Vegas Airport South,Category 4,"355 East Warm Springs Road Las Vegas, Nevada 89119",TownePlace Suites Las Vegas Airport South View Calendar,undefined undefined
TownePlace Suites Las Vegas City Center,Category 4,"4920 Dean Martin Drive Las Vegas, Nevada 89118",TownePlace Suites Las Vegas City Center 4.6   97 Reviews View Rates,undefined undefined
The Westin Las Vegas Hotel & Spa,Category 5,"160 East Flamingo Road Las Vegas, Nevada 89109",The Westin Las Vegas Hotel & Spa 3.7   1461 Reviews View Rates,undefined undefined
TownePlace Suites Latham Albany Airport,Category 2,"5 Forts Ferry Road Latham, New York 12110",TownePlace Suites Latham Albany Airport 4.7   299 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ALBLA/albla-exterior-0001-hor-feat.jpg?resize=375:150 undefined
SpringHill Suites Pittsburgh Latrobe,Category 3,"115 Arnold Palmer Dr Latrobe, Pennsylvania 15650",SpringHill Suites Pittsburgh Latrobe 4.8   655 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/PITLT/pitlt-exterior-0014-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn Laurel,Category 3,"13700 Baltimore Avenue Laurel, Maryland 20707",Fairfield Inn Laurel 4.3   484 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/WASLR/waslr-guestroom-0013-hor-feat.jpg?resize=375:150 undefined
SpringHill Suites Lawrence Downtown,Category 4,"One Riverfront Plaza Lawrence, Kansas 66044",SpringHill Suites Lawrence Downtown 4.3   408 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LWCKS/lwcks-entrance-0035-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Lawrence Downtown,Category 4,"900 New Hampshire Street Lawrence, Kansas 66044",TownePlace Suites Lawrence Downtown 4.6   274 Reviews View Rates,undefined undefined
TownePlace Suites Atlanta Lawrenceville,Category 3,"1740 Lakes Parkway Lawrenceville, Georgia 30043",TownePlace Suites Atlanta Lawrenceville View Calendar,undefined undefined
Fairfield Inn & Suites Lawton,Category 1,"201 SE 7th Str Lawton, Oklahoma 73501",Fairfield Inn & Suites Lawton 3.9   381 Reviews View Rates,undefined undefined
SpringHill Suites Lawton,Category 2,"3 SE Interstate Drive Lawton, Oklahoma 73501",SpringHill Suites Lawton 4   362 Reviews View Rates,undefined undefined
Courtyard Salt Lake City Layton,Category 2,"1803 Woodland Park Drive Layton, Utah 84041",Courtyard Salt Lake City Layton 4.2   430 Reviews View Rates,undefined undefined
